1,14
2,12
3,20
4,9
5,14
6,16
7,18
8,23
9,8
10,10
11,14
12,13
13,15
14,20
15,13
16,16
17,19
18,18
19,21
20,25
21,7
22,9
23,9
24,12
25,12
26,14
27,17
28,11
29,14
30,14
31,16
32,17
33,18
34,22
35,12
36,13
37,14
38,16
39,17
40,18
41,22
42,16
43,18
44,19
45,20
46,22
47,22
48,27
49,5
50,7
51,9
52,11
53,9
54,11
55,13
56,15
57,9
58,11
59,13
60,15
61,13
62,15
63,17
64,19
65,9
66,11
67,13
68,15
69,13
70,15
71,17
72,19
73,13
74,15
75,17
76,19
77,17
78,19
79,21
80,23
81,9
82,11
83,13
84,15
85,13
86,15
87,17
88,19
89,13
90,15
91,17
92,19
93,17
94,19
95,21
96,23
97,13
98,15
99,17
100,19
101,17
102,19
103,21
104,23
105,17
106,19
107,21
108,23
109,21
110,23
111,25
112,27
113,5
114,6
115,7
116,9
117,9
118,9
119,11
120,11
121,13
122,8
123,10
124,10
125,13
126,13
127,12
128,15
129,14
130,17
131,8
132,10
133,11
134,12
135,13
136,12
137,15
138,14
139,17
140,11
141,14
142,14
143,16
144,17
145,15
146,19
147,17
148,21
149,9
150,9
151,11
152,12
153,13
154,12
155,15
156,14
157,17
158,12
159,13
160,14
161,16
162,17
163,15
164,19
165,17
166,21
167,12
168,13
169,15
170,15
171,17
172,15
173,19
174,17
175,21
176,15
177,17
178,18
179,19
180,21
181,18
182,23
183,20
184,25
185,9
186,9
187,11
188,12
189,13
190,12
191,15
192,15
193,16
194,12
195,13
196,14
197,16
198,17
199,15
200,19
201,18
202,20
203,12
204,13
205,15
206,15
207,17
208,15
209,19
210,18
211,20
212,15
213,17
214,18
215,19
216,21
217,18
218,23
219,21
220,24
221,13
222,12
223,15
224,15
225,17
226,15
227,19
228,18
229,20
230,16
231,16
232,18
233,19
234,21
235,18
236,23
237,21
238,24
239,16
240,16
241,19
242,18
243,21
244,18
245,23
246,21
247,24
248,19
249,20
250,22
251,22
252,25
253,21
254,27
255,24
256,28
257,3
